"OWNER";"TABLE_NAME";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DENSITY";"DEFAULT_ON_NULL";"NUM_BUCKETS";"COMMENTS";"CONSTRAINTS"
"SUANOTA";"APP_DEVICE_AUD";11;"NM_SO_DEVICE";"VARCHAR2";200;"Y";;0;0;0;0;"NO";0;"Nome sistema operacional do device do usuário";" (, )"
"SUANOTA";"APP_DEVICE_AUD";12;"NU_SO_VERSAO";"VARCHAR2";20;"Y";;0;0;0;0;"NO";0;"Versão do sistema operacional do device do usuário";" (, )"
"SUANOTA";"APP_LOG_SMS";1;"ID_LOG_SMS";"NUMBER";22;"N";0;0;0;0;0;"NO";0;"";"NFPLOSM_PK (PRIMARY KEY, ENABLED); SYS_C00247397 (CHECK, ENABLED)"
"SUANOTA";"APP_LOG_SMS";2;"TX_TELEFONE";"VARCHAR2";30;"N";;0;0;0;0;"NO";0;"Telefone para o qual foi enviado o SMS";"SYS_C00247398 (CHECK, ENABLED)"
"SUANOTA";"APP_LOG_SMS";3;"TX_MENSAGEM";"VARCHAR2";250;"N";;0;0;0;0;"NO";0;"Mensagem enviada através do SMS";"SYS_C00247399 (CHECK, ENABLED)"
"SUANOTA";"APP_LOG_SMS";4;"TX_ENDERECO_SERVICO";"VARCHAR2";250;"N";;0;0;0;0;"NO";0;"Endereço do Provedor do Serviço de SMS";"SYS_C00247400 (CHECK, ENABLED)"
"SUANOTA";"APP_LOG_SMS";5;"ST_MENSAGEM";"VARCHAR2";2;"N";;0;0;0;0;"NO";0;"Flag com a Resposta do Provedor do Serviço de SMS (SU = Sucesso - FR = Fracasso)";"SYS_C00247401 (CHECK, ENABLED)"
"SUANOTA";"APP_LOG_SMS";6;"TM_INCLUSAO";"DATE";7;"N";;0;0;0;0;"NO";0;"Data/Hora de inclusão do registro na tabela";"SYS_C00247402 (CHECK, ENABLED)"
"SUANOTA";"APP_LOG_SMS";7;"CD_USUARIO_INCLUSAO";"VARCHAR2";250;"Y";;0;0;0;0;"NO";0;"Código do usuário que incluiu o registro na tabela";" (, )"
"SUANOTA";"APP_LOG_SMS";8;"TM_ALTERACAO";"DATE";7;"Y";;0;0;0;0;"NO";0;"Data/Hora de alteração do registro na tabela";" (, )"
"SUANOTA";"APP_LOG_SMS";9;"CD_USUARIO_ALTERACAO";"VARCHAR2";250;"Y";;0;0;0;0;"NO";0;"Código do usuário que alterou o registro na tabela";" (, )"
"SUANOTA";"APP_NOTIFICACAO";1;"ID_NOTIFICACAO";"NUMBER";22;"N";0;6;19949803;0;0,000000050125808259861;"NO";1;"Sequencial da Tabela";"APPNOTI_PK (PRIMARY KEY, ENABLED); SYS_C00247403 (CHECK, ENABLED)"
"SUANOTA";"APP_NOTIFICACAO";2;"ID_USUARIO";"NUMBER";22;"N";0;5;376576;0;0,00000265550645819171;"NO";1;"FK relacionada a APP_USUARIO.ID_USUARIO";"APPNOTI_APPUSUA_FK (FOREIGN KEY, ENABLED); SYS_C00247404 (CHECK, ENABLED)"
"SUANOTA";"APP_NOTIFICACAO";3;"ID_SISTEMA";"NUMBER";22;"N";0;3;1;0;0,0000000146697322642259;"NO";1;"FK relacionada a APP_SISTEMA.ID_SISTEMA";"APPNOTI_APPSIST_FK (FOREIGN KEY, ENABLED); SYS_C00247405 (CHECK, ENABLED)"
